acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
128103,FRUTA CONFITADA ESCURRIDA,774526,Fuera de las condiciones reglamentarias,Decreto 315/994 Art. 19.3.68. En la rotulación no declara los porcentajes de los vegetales componentes de la mezcla.,En condiciones,LA ABUNDANCIA,2024-12-18,394/1179,2026-04-30,L4317,250 g
128103,CEREZAS CONFITADAS ROJAS ENTERAS,774527,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA ABUNDANCIA,2024-12-18,394/132,2026-07-22,4316,120 g
128103,Pasas de uva morenas sin semillas,774523,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TA-TA,2024-12-18,18138/380,2025-08-31,32984,100 g
128085,TURRON CROCANTE DE MANI SABOR CHOCOLATE,774521,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RONDA,2024-12-17,1281/52,2025-07-31,R C 071,70 g
128085,Turrón de chocolate sabor a whisky libre de gluten,774516,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 6.4.1. En el rótulo no figura el número de registro del producto. Art. 8.1. La denominación de venta no figura en la cara principal y la visibilidad no es correcta debido a las dimensiones de los caracteres.,En condiciones,PICO,2024-12-17,30835/96,2025-07-31,24.166 L3,200 g
128085,Turrón con maní tostado,774514,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PICO,2024-12-17,30835/196,2026-03-31,24.247,150g
128085,TURRON DE MANI CUBIERTO CON BAÑO DE REPOSTERIA,774519,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,GEORGALOS,2024-12-17,5429/750,2025-09-30,02 1L24502,65 g
128085,TURRÓN DE JIJONA - SIN GLUTEN,774518,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ANTIU XIXONA,2024-12-17,4817/882,2026-07-31,20441 2,150 g
128085,TURRÓN BLANDO DE MANÍ SABOR CHOCOLATE,774520,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,VALLE DEL SOL,2024-12-17,3106/1025,2026-11-30,L311 13:13:41,70 g
128085,Simil chocolate con guindas al licor,774515,Fuera de las condiciones reglamentarias,Resolución S/N/2024 Reglamento Normativo de Productos Art. 10. El producto no se comercializa de acuerdo a lo registrado.,En condiciones,PICO,2024-12-17,30835/94,2025-07-31,24 166 L3,200 g
128085,TURRÓN DURO ¿ SIN GLUTEN,774517,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MONERRIS LLINARES,2024-12-17,4817/876,2026-07-31,20142 3,150 g
128081,Crema helada sabor vainilla. sabor frutilla y de chocolate.,774510,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LEKKER,2024-12-16,23957/501,2026-04-26,2024 04 26,450 g / 900 ml
128081,Helado de leche de maní con relleno a base de maní y chocolate con leche,774512,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,BON O BON,2024-12-16,1409/6052,2026-01-17,17/10/2026 IC B 12:02,250 g / 450 cm3
128081,CREMA HELADA: CHOCOLATE CON ALMENDRAS,774511,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA CIGALE,2024-12-16,2440/88,2025-11-18,2114,800 mL
128081,Helado de crema de dulce de leche cubierto con baño de repostería semiamargo,774513,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,FREDDO,2024-12-16,23420/165,2025-07-31,11072023 U,180 g
128081,Crema helada sabor avellanas con cacao veteado con salsa crocante sabor gianduia,774509,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TIENDA INGLESA PREMIUM,2024-12-16,1712/382,2026-10-31,16  13:20,1.9 L / 1.05 Kg
128081,Crema helada sabor vainilla. chocolate y frutilla,774508,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TIENDA INGLESA,2024-12-16,1712/377,2026-09-30,09   10:09,1.9 L
128077,BARRA DE CEREALES CON CASTAÑAS DE BRASIL,774496,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NUTRY,2024-12-13,11913/925,2025-06-10,C1 008169,528 g
128077,BARRA DE CEREALES SIN ADICCION DE AZÚCARES CON CAFE Y COBERTURA SABOR CHOCOLATE BLANCO,774497,Fuera de las condiciones reglamentarias,Resolución S/N/024. Reglamento Normativo de Empresas Locales y Vehículos. Anexo Reglamentario al Convenio Institucional de RUNAEV. Reglamento de Productos Artículo 1. El producto no está registrado.,En condiciones,RITTER,2024-12-13,No posee registro,2025-07-02,184,528 g
128077,Barra de cereal con frutilla y chocolate con leche,774498,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CEREAL MIX ARCOR,2024-12-13,1409/8011,2025-07-16,16072025-AO 22-11,520 g
128076,BOCADITOS DE MAIZ SABOR QUESO,774504,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC Nº 46/03 Anexo B Modelo vertical A. No se especifican las unidades de los valores declarados ni la leyenda de valores diarios. Decretos 272/018 y 34/021. De acuerdo a lo declarado en la información nutricional debe presentar rotulado frontal por exceso de grasa.,Fuera de condiciones,GUAZU,2024-12-13,20574/50,2025-03-30,30/03/2025,120 g
128078,DURAZNOS EN ALMIBAR LIVIANO EN MITADES,774491,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NIDEMAR,2024-12-13,35050/273,2027-01-31,L-03124 12:23,820 g
128076,maní pelado frito sin sal agregada,774506,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MANIX,2024-12-13,3086/1165,2025-03-15,L188903124 U1,350 g
128078,DURAZNOS EN ALMIBAR LIVIANO EN MITADES,774493,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CEFA,2024-12-13,35050/276,2027-01-31,L-42124 07:43,820 g
128078,DURAZNOS EN MITADES EN ALMIBAR LIVIANO,774494,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIO DE LA PLATA,2024-12-13,5529/136,2026-02-18,L 9291,820 g
128076,SALADITOS PARA COPETIN SABOR QUESO,774503,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CHIO,2024-12-13,11913/1220,2025-01-27,HR 20B 07:32,80 g
128077,BARRA DE CEREALES SABOR A FRUTOS ROJOS CON GALLETA DE CACAO,774499,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NUTRY,2024-12-13,11913/1858,2025-06-05,A3A 008034,528 g
128076,papas fritas,774501,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LAY'S,2024-12-13,3086/434,2025-01-12,L265 18:02:45 N07,150 g
128076,Papas fritas con cáscara con sabor a hierbas y limón,774500,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LAY'S,2024-12-13,3086/1225,2025-03-31,01 1426LD 83002444,100 g
128078,DURAZNOS EN MITADES EN ALMIBAR DIETÉTICO - REDUCIDOS 68% EN VALOR ENERGÉTICO*- SIN GLUTEN,774492,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COSECHA DORADA,2024-12-13,7661/320,2027-01-31,L-01424 10:16 Env 01-2024,800 g
128076,BOCADITOS DE MAIZ SABOR QUESO,774502,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MANOLO DE PUNTA DEL ESTE,2024-12-13,20574/24,2025-03-30,30/03/2025,45 g
128076,FORMITAS DE HARINA DE MAIZ CON SABOR A JAMON. -TUBITOS-,774505,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NIKITOS,2024-12-13,1192/11,2025-05-30,30/05/2025,100 g
128077,Barra de cereales dietética con manzana,774495,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ARCOR CEREAL MIX,2024-12-13,1409/8251,2025-02-21,21022025-AO 02:29,460 g
128076,MEZCLA DE MANI. ALMENDRAS Y CASTAÑAS DE CAJÚ,774507,Fuera de las condiciones reglamentarias,Decretos 272/018 y 34/021. De acuerdo a lo declarado en  la información nutricional debe presentar rotulado frontal por exceso de sodio. Presenta rotulado fronta del país de origen. no cumple lo establecido en la normativa.,Fuera de condiciones,CROPPERS,2024-12-13,11913/2905,2025-05-05,MC08240003,85 g
128075,ANANA EN RODAJAS EN ALMIBAR LIVIANO,774489,Fuera de las condiciones reglamentarias,Resolución S/N/2024 Reglamento Normativo de Productos Art. 10. El registro del producto está vencido.,En condiciones,VITER,2024-12-12,25528/462,2025-06-20,20062025 3620,840 g
128075,DURAZNOS EN ALMIBAR MITADES,774490,Fuera de las condiciones reglamentarias,Resolución S/N/2024 Reglamento Normativo de Productos Art. 10. El registro del producto está vencido. Decreto 117/006 Resolución GMC 26/03 Art. 3.1a) La rotulación es confusa. presenta dos denominaciones de venta diferentes.,En condiciones,KING,2024-12-12,13426/102,2027-01-31,L-19024,820 g
